"AISEAU-PRESLES","14,6%","","50.403 4.574","Aiseau-Presles"
"LES BONS VILLERS","6,9%","","50.5278 4.4481","Les Bons Villers"
"BOUSSU","18,2%","","50.4235 3.801","Boussu"
"DOUR","15,5%","","50.3873 3.7869","Dour"
"FRAMERIES","15,4%","","50.383 3.879","Frameries"
"HENSIES","13,3%","","50.4357 3.7139","Hensies"
"JURBISE","4,7%","","50.522 3.899","Jurbeke"
"LENS","6,2%","","50.578 3.944","Lens"
"MONS","16,5%","","50.4525 3.9718","Bergen"
"QUAREGNON","18,2%","","50.4378 3.8585","Quaregnon"
"QUIEVRAIN","19,7%","","50.396 3.695","Quiévrain"
"SAINT-GHISLAIN","12,2%","","50.49 3.788","Saint-Ghislain"
"COLFONTAINE","20,1%","","50.407 3.842","Colfontaine"
"HONNELLES","8,8%","","50.3435 3.6975","Honnelles"
"QUEVY","7,6%","","50.3665 3.9543","Quévy"
"BRAINE-LE-COMTE","9,0%","","50.617 4.183","’s Gravenbrakel"
"LE ROEULX","8,9%","","50.5073 4.1061","Le Roeulx"
"SOIGNIES","9,4%","","50.5662 4.0384","Zinnik"
"ECAUSSINNES","8,1%","","50.5628 4.1795","Ecaussinnes"
"SENEFFE","8,8%","","50.549 4.261","Seneffe"
"MANAGE","14,5%","","50.4931 4.239","Manage"
"ANDERLUES","12,8%","","50.4037 4.2657","Anderlues"
"BEAUMONT","11,9%","","50.227 4.2555","Beaumont"
"CHIMAY","16,6%","","50.0409 4.3243","Chimay"
"ERQUELINNES","16,5%","","50.3038 4.1386","Erquelinnes"
"FROIDCHAPELLE","13,8%","","50.1425 4.3415","Froidchapelle"
"LOBBES","7,5%","","50.3545 4.2435","Lobbes"
"MERBES-LE-CHATEAU","12,8%","","50.321 4.1944","Merbes-le-Château"
"MOMIGNIES","18,5%","","50.009 4.189","Momignies"
"THUIN","11,6%","","50.3242 4.3108","Thuin"
"HAM-SUR-HEURE-NALINNES","6,2%","","50.3275 4.4139","Ham-sur-Heure-Nalinnes"
"SIVRY-RANCE","12,5%","","50.1601 4.2104","Sivry-Rance"
"ANTOING","10,7%","","50.5561 3.4657","Antoing"
"CELLES","7,4%","","50.7037 3.449","Celles"
"ESTAIMPUIS","10,0%","","50.6876 3.2885","Estaimpuis"
"PECQ","8,7%","","50.6851 3.3567","Pecq"
"PERUWELZ","11,8%","","50.5335 3.5625","Péruwelz"
"RUMES","6,4%","","50.543 3.308","Rumes"
"TOURNAI","13,4%","","50.6205 3.4105","Doornik"
"BRUNEHAUT","7,4%","","50.529 3.396","Brunehaut"
"LEUZE-EN-HAINAUT","9,6%","","50.5972 3.6288","Leuze-en-Hainaut"
"MONT-DE-L'ENCLUS","5,6%","","50.738 3.5045","Mont-de-l’Enclus"
"MOUSCRON","13,6%","","50.7364 3.2511","Moeskroen"
"COMINES-WARNETON","13,0%","","50.7515 2.9302","Komen-Waasten"
"LA LOUVIERE","17,0%","","50.4736 4.1567","La Louvière"
"BINCHE","13,2%","","50.398 4.203","Binche"
"ESTINNES","10,8%","","50.3788 4.1007","Estinnes"
"MORLANWELZ","12,8%","","50.4475 4.2436","Morlanwelz"
"AMAY","10,4%","","50.553 5.3116","Amay"
"BURDINNE","4,8%","","50.5815 5.0535","Burdinne"
"CLAVIER","7,7%","","50.413 5.365","Clavier"
"FERRIERES","7,4%","","50.4072 5.6209","Ferrières"
"HAMOIR","10,3%","","50.4372 5.5551","Hamoir"
"HERON","4,9%","","50.5405 5.1054","Héron"
"HUY","15,3%","","50.5035 5.1645","Hoei"
"MARCHIN","6,6%","","50.4675 5.2375","Marchin"
"MODAVE","7,1%","","50.4715 5.295","Modave"
"NANDRIN","4,2%","","50.516 5.418","Nandrin"
"OUFFET","6,9%","","50.4455 5.4605","Ouffet"
"VERLAINE","5,0%","","50.6089 5.3024","Verlaine"
"VILLERS-LE-BOUILLET","7,0%","","50.5933 5.2427","Villers-Le-Bouillet"
"WANZE","8,5%","","50.5504 5.198","Wanze"
"ANTHISNES","7,7%","","50.4893 5.4984","Anthisnes"
"ENGIS","12,4%","","50.5575 5.3888","Engis"
"TINLOT","6,2%","","50.4751 5.3799","Tinlot"
"ANS","14,0%","","50.686 5.497","Ans"
"AWANS","7,8%","","50.6927 5.4552","Awans"
"AYWAILLE","10,3%","","50.458 5.687","Aywaille"
"BASSENGE","8,4%","","50.7695 5.6345","Bitsingen"
"BEYNE-HEUSAY","12,5%","","50.6284 5.6614","Beyne-Heusay"
"CHAUDFONTAINE","8,2%","","50.582 5.6345","Chaudfontaine"
